id,label
180600,NOT
399900,OFF
920548,NOT
983803,OFF
920938,NOT
923767,OFF
831642,NOT
791834,OFF
259182,NOT
900112,NOT
816375,NOT
999666,NOT
990559,OFF
994527,OFF
642120,NOT
857347,NOT
935766,NOT
779524,NOT
446337,NOT
887318,OFF
912009,NOT
181300,OFF
543152,NOT
159096,OFF
559513,NOT
262348,NOT
195475,OFF
252699,OFF
609706,OFF
776583,NOT
326943,NOT
247300,OFF
579259,NOT
628488,OFF
584092,NOT
940212,NOT
918477,NOT
464413,NOT
750067,NOT
402999,NOT
996046,NOT
373523,NOT
173423,NOT
996894,NOT
784243,NOT
845314,OFF
296645,OFF
819609,OFF
512984,NOT
510697,NOT
863465,OFF
667320,OFF
296365,NOT
408275,OFF
147161,NOT
560949,NOT
619866,NOT
385112,NOT
340675,NOT
630369,NOT
359398,NOT
425004,NOT
194919,NOT
443879,OFF
506538,NOT
496143,NOT
629817,OFF
513974,NOT
881242,NOT
704849,NOT
900443,NOT
732442,NOT
814259,NOT
319065,NOT
130895,NOT
658664,NOT
100742,NOT
148454,OFF
422819,NOT
713720,NOT
456892,NOT
303082,OFF
785526,NOT
901107,NOT
848924,NOT
249130,OFF
530029,OFF
296134,NOT
988890,OFF
790214,NOT
771813,NOT
367159,OFF
903610,NOT
724668,NOT
577780,NOT
768956,NOT
342610,NOT
954812,NOT
738086,OFF
681959,NOT
903322,NOT
593563,NOT
405241,OFF
892047,NOT
224937,NOT
310226,OFF
715323,NOT
976215,NOT
549074,NOT
232815,NOT
165287,NOT
807353,OFF
301215,OFF
106953,NOT
421755,NOT
352767,NOT
976230,NOT
338032,OFF
924661,OFF
976062,NOT
880458,NOT
841370,NOT
583124,NOT
441947,OFF
523050,OFF
560873,OFF
846200,NOT
942962,NOT
845435,NOT
910875,NOT
119242,NOT
876257,NOT
905222,NOT
719401,NOT
208472,OFF
859646,NOT
503272,NOT
325418,OFF
701933,NOT
499227,NOT
502520,NOT
755059,NOT
242047,NOT
653938,NOT
919469,NOT
439277,OFF
599422,NOT
643141,OFF
601242,NOT
415536,NOT
864795,NOT
210283,OFF
937400,NOT
948287,NOT
659971,NOT
626542,NOT
601986,NOT
239391,NOT
258872,NOT
849431,OFF
924742,NOT
668134,NOT
837803,OFF
823870,NOT
629240,OFF
301486,NOT
227538,OFF
139666,NOT
876794,OFF
347570,NOT
428112,NOT
523619,NOT
199805,NOT
361832,NOT
109280,OFF
134452,OFF
795473,NOT
622344,NOT
328301,NOT
475958,NOT
886715,NOT
565619,OFF
543854,NOT
272449,NOT
374679,OFF
938846,NOT
302940,NOT
542002,NOT
512993,NOT
173751,OFF
727003,NOT
882035,NOT
497195,OFF
200324,NOT
177768,NOT
693178,NOT
694855,NOT
468091,NOT
465407,NOT
220001,NOT
471660,NOT
456458,NOT
611160,NOT
660605,NOT
232453,NOT
884546,NOT
240463,NOT
434504,NOT
106096,OFF
661981,NOT
922416,NOT
830997,NOT
208871,NOT
605755,OFF
378365,NOT
454026,NOT
893639,NOT
691532,NOT
173634,NOT
957601,OFF
190809,NOT
397095,OFF
157913,NOT
304598,NOT
467907,OFF
417666,NOT
955069,NOT
526709,NOT
669473,NOT
994343,NOT
162131,NOT
523683,NOT
353184,NOT
650042,NOT
686976,OFF
855606,NOT
395129,NOT
960754,NOT
452405,NOT
663151,NOT
428781,OFF
412904,OFF
455714,NOT
789729,NOT
863427,OFF
179093,OFF
416929,NOT
163369,OFF
770980,OFF
418389,NOT
903458,NOT
189796,OFF
191744,NOT
106786,NOT
512846,NOT
272005,NOT
734527,NOT
610471,NOT
729535,NOT
492608,NOT
335132,NOT
203197,OFF
928255,NOT
588724,NOT
610370,OFF
933532,NOT
107851,NOT
849368,OFF
727446,NOT
805134,OFF
916573,NOT
992220,NOT
694245,NOT
265612,NOT
899988,OFF
988170,NOT
252199,NOT
694501,NOT
796896,NOT
115201,NOT
994047,NOT
584564,NOT
749929,NOT
758261,NOT
202409,NOT
924449,OFF
495553,NOT
189387,NOT
365778,NOT
721041,NOT
379127,NOT
820671,NOT
442417,NOT
851245,NOT
279412,NOT
886441,NOT
227887,NOT
901978,OFF
678518,OFF
598524,OFF
715644,OFF
241108,NOT
963575,OFF
793412,NOT
898072,NOT
813013,NOT
359433,OFF
943394,OFF
671921,NOT
279750,NOT
469016,NOT
873517,NOT
854958,NOT
308271,NOT
579449,NOT
527257,NOT
831170,NOT
683845,OFF
821139,OFF
391179,NOT
228888,OFF
299073,NOT
704877,OFF
563289,NOT
138132,NOT
680968,NOT
327192,NOT
850712,NOT
895810,NOT
618781,OFF
528635,OFF
341164,NOT
273994,OFF
804379,NOT
715190,OFF
885432,NOT
173410,NOT
260250,NOT
401762,NOT
217243,NOT
865684,OFF
924167,NOT
619498,NOT
992350,NOT
351604,OFF
219778,NOT
565259,NOT
602958,NOT
950742,OFF
409686,NOT
647769,OFF
386293,NOT
777573,OFF
314314,NOT
141118,NOT
737940,NOT
825851,NOT
338766,NOT
103851,NOT
112076,NOT
890189,NOT
993242,NOT
688775,NOT
275654,NOT
165188,OFF
325703,NOT
843170,NOT
569906,NOT
878744,NOT
807491,NOT
126786,NOT
577039,NOT
441182,NOT
176571,OFF
766836,OFF
823917,NOT
609184,NOT
120075,OFF
233360,NOT
611155,NOT
234926,NOT
486017,OFF
158253,OFF
930903,NOT
251957,OFF
749440,OFF
234257,OFF
521068,OFF
731682,NOT
281361,NOT
619317,NOT
334359,NOT
790222,OFF
635091,NOT
950405,OFF
826876,NOT
391337,NOT
560506,OFF
825510,NOT
316782,OFF
985436,OFF
767456,NOT
100490,NOT
535400,NOT
580169,NOT
555368,NOT
767552,OFF
469623,NOT
810306,OFF
661481,OFF
538628,OFF
111159,NOT
981397,NOT
754606,NOT
174013,NOT
365862,NOT
924865,OFF
208979,OFF
635220,NOT
509186,OFF
900662,NOT
843836,OFF
987779,NOT
459829,NOT
923574,OFF
820611,NOT
482834,NOT
677334,OFF
325900,OFF
108453,NOT
294990,NOT
262920,NOT
576674,NOT
208048,NOT
806052,OFF
438003,NOT
485506,NOT
321657,NOT
291885,NOT
946388,NOT
770472,NOT
253896,NOT
535945,NOT
816919,NOT
921146,NOT
988826,OFF
263612,NOT
639469,OFF
382107,OFF
560273,NOT
163966,OFF
590496,OFF
277760,NOT
310358,NOT
578228,NOT
315226,NOT
667284,OFF
519766,OFF
938758,OFF
148141,OFF
977871,OFF
668064,NOT
410815,NOT
108216,NOT
458936,NOT
442283,OFF
388413,NOT
380255,OFF
843144,NOT
604560,OFF
517780,OFF
246054,NOT
394191,NOT
874676,NOT
677949,NOT
100396,NOT
809995,NOT
355952,OFF
290186,NOT
270563,NOT
411256,OFF
163941,NOT
885424,OFF
990501,NOT
930120,OFF
850106,NOT
169776,NOT
950041,OFF
327290,NOT
299705,NOT
987850,NOT
103552,NOT
306399,NOT
826281,NOT
203761,NOT
167237,NOT
532346,NOT
288725,NOT
106531,NOT
676688,NOT
709272,OFF
819286,NOT
600928,OFF
939946,NOT
795119,OFF
475244,NOT
934451,OFF
799390,NOT
430663,OFF
829420,NOT
618985,NOT
182503,NOT
642908,NOT
415800,NOT
615661,NOT
409337,NOT
146257,OFF
849962,NOT
786506,OFF
848677,NOT
140116,NOT
214052,NOT
745613,NOT
102433,NOT
448690,NOT
416632,OFF
100903,NOT
310675,NOT
268928,NOT
423050,OFF
355555,NOT
964239,NOT
101741,OFF
158948,NOT
400325,NOT
542840,NOT
764803,OFF
734334,NOT
330953,NOT
970308,NOT
837212,NOT
203036,NOT
657456,NOT
455351,OFF
919677,NOT
466521,NOT
812406,OFF
276742,OFF
498068,NOT
531624,NOT
211714,OFF
326324,NOT
394613,NOT
602891,OFF
890781,NOT
554269,NOT
678013,NOT
903016,NOT
713881,NOT
855012,NOT
736064,NOT
292314,NOT
132607,OFF
701513,OFF
699891,NOT
215843,NOT
433936,NOT
264277,NOT
605282,OFF
750312,NOT
454840,NOT
629843,NOT
347915,NOT
728190,NOT
218530,OFF
480874,NOT
329623,OFF
698553,NOT
501303,NOT
816057,NOT
948555,NOT
558396,NOT
162751,NOT
767826,NOT
143762,NOT
629929,NOT
855020,OFF
717675,NOT
117473,NOT
639967,NOT
308466,OFF
496816,NOT
754287,OFF
942090,OFF
150034,NOT
884953,OFF
814748,NOT
923669,NOT
190504,NOT
979243,NOT
418831,OFF
967054,NOT
346673,NOT
167974,NOT
953238,NOT
833787,NOT
334970,NOT
445809,NOT
221576,NOT
183817,NOT
958283,NOT
690715,NOT
